block line confidence X1 Y1 X2 Y2 token
0 0 0.9998500347137451 537 98 594 132 Reid
0 0 0.9997859597206116 592 100 636 130 and
0 0 0.9762246012687683 636 102 715 127 Kontar:
0 0 0.9364051818847656 717 102 867 127 Beam-induced
0 0 0.9968067407608032 868 102 952 127 Electric
0 0 0.9955647587776184 951 100 1011 127 Field
0 0 0.8327876925468445 1011 102 1143 127 Distributions
1 0 0.6763608455657959 116 157 193 194 (Mann
1 0 0.9992044568061829 195 159 226 191 et
1 0 0.9603081941604614 226 159 261 194 al.
1 0 0.9871182441711426 258 157 337 194 1999).
1 0 0.9997720122337341 340 157 394 191 The
1 0 0.9975085258483887 394 157 482 198 density
1 0 0.9998962879180908 484 157 562 191 model
1 0 0.9974901676177979 562 157 591 191 is
1 0 0.9995483756065369 589 162 647 196 very
1 0 0.9894974231719971 649 162 731 189 similar
1 0 0.9999452829360962 733 162 764 191 to
1 0 0.9999760389328003 765 162 830 189 other
1 0 0.9929574728012085 854 164 952 189 constant
1 0 0.9996271133422852 954 164 1019 189 mean
1 0 0.8936551809310913 1020 159 1158 194 background
1 0 0.9664872884750366 1159 162 1250 189 electron
1 0 0.9986187219619751 1250 157 1340 198 density
1 0 0.9985215067863464 1339 164 1416 191 means
1 0 0.9757855534553528 1414 157 1466 191 that
1 0 0.97661292552948 1463 162 1503 191 we
1 0 0.997432291507721 1503 162 1568 189 know
1 1 0.9995656609535217 111 189 177 223 solar
1 1 0.9995853304862976 176 187 240 221 wind
1 1 0.6195853352546692 242 189 329 223 density
1 1 0.9994140863418579 332 191 416 219 models
1 1 0.8871673345565796 419 187 471 221 like
1 1 0.999295711517334 471 189 513 219 the
1 1 0.6265685558319092 516 189 749 221 Sitler-Guhathkurta
1 1 0.9975795149803162 752 191 827 219 model
1 1 0.9995446801185608 852 191 902 228 any
1 1 0.9975712895393372 902 191 998 226 changes
1 1 0.9990181922912598 999 194 1035 221 on
1 1 0.9775581359863281 1035 187 1078 223 the
1 1 0.8879032731056213 1077 189 1213 221 distribution
1 1 0.9999866485595703 1213 189 1248 223 of
1 1 0.999902606010437 1243 187 1288 223 the
1 1 0.9910627603530884 1288 191 1374 219 electric
1 1 0.9998960494995117 1379 191 1444 219 fields
1 1 0.9815182089805603 1445 194 1487 221 are
1 1 0.9996261596679688 1487 191 1568 219 caused
1 2 0.5702610015869141 113 216 200 258 (Sittler
1 2 0.9996629953384399 198 219 227 251 &
1 2 0.5106536149978638 229 221 457 255 Guhathakura1999)
1 2 0.9940896034240723 460 221 507 253 and
1 2 0.679557740688324 507 221 547 251 the
1 2 0.9886797070503235 550 223 642 248 Leblanc
1 2 0.98747718334198 647 221 722 248 model
1 2 0.9589486718177795 725 221 831 255 (Leblanc
1 2 0.9994828701019287 852 219 891 258 by
1 2 0.958225429058075 891 221 1011 255 modifying
1 2 0.9999121427536011 1014 221 1054 251 the
1 2 0.976246178150177 1056 221 1158 255 intensity
1 2 0.9999982118606567 1158 219 1193 253 of
1 2 0.9999134540557861 1190 221 1230 251 the
1 2 0.9989487528800964 1230 221 1318 255 density
1 2 0.9817896485328674 1321 223 1445 248 turbulence.
1 2 0.9999949932098389 1447 219 1502 253 The
1 2 0.9981167316436768 1500 219 1568 253 back-
1 3 0.7995091080665588 108 244 158 290 êta
1 3 0.6162174344062805 142 246 253 287 a1.1998)
1 3 0.9995474219322205 253 253 335 287 except
1 3 0.9751678109169006 335 248 387 283 that
1 3 0.9996607303619385 387 251 429 280 the
1 3 0.9991106390953064 429 248 518 290 density
1 3 0.9995313882827759 520 251 547 283 is
1 3 0.999798595905304 549 251 629 285 higher
1 3 0.9913597702980042 629 248 696 283 close
1 3 0.999846339225769 694 251 726 283 to
1 3 0.9993428587913513 726 251 770 280 the
1 3 0.9990907907485962 770 248 828 285 Sun,
1 3 0.9999943971633911 856 251 940 285 ground
1 3 0.7622937560081482 940 251 1024 290 plasma
1 3 0.9990934133529663 1022 253 1161 287 temperature
1 3 0.9966817498207092 1159 255 1209 283 was
1 3 0.9998607635498047 1208 251 1248 280 set
1 3 0.9996771812438965 1242 253 1274 280 to
1 3 0.8884636163711548 1274 251 1314 280 10
1 3 0.986520528793335 1316 251 1351 285 K,
1 3 0.6201756000518799 1347 248 1463 283 indicative
1 3 0.9999974966049194 1461 251 1494 283 of
1 3 0.9999713897705078 1490 251 1531 280 the
1 3 0.8349002599716187 1528 253 1570 280 SO-
1 4 0.9868472218513489 111 278 188 312 below
1 4 0.4688764810562134 188 280 266 317 IORo:
1 4 0.9999401569366455 263 280 316 315 The
1 4 0.8940115571022034 314 283 402 317 density
1 4 0.999975323677063 400 280 478 315 model
1 4 0.9989853501319885 478 283 565 310 reaches
1 4 0.9942463040351868 562 276 652 317 5x109
1 4 0.9584524631500244 650 283 692 312 cm
1 4 0.9986538887023926 691 276 715 310 3
1 4 0.9999511241912842 712 280 743 312 at
1 4 0.5007448196411133 741 283 781 312 the
1 4 0.9996016621589661 780 280 830 315 low
1 4 0.997951090335846 856 283 893 312 lar
1 4 0.9996551275253296 889 280 952 315 wind
1 4 0.9985758066177368 951 285 1006 312 core
1 4 0.9970558881759644 1006 283 1145 317 temperature
1 4 0.9996349811553955 1143 283 1172 315 at
1 4 0.9958282113075256 1169 280 1193 315 1
1 4 0.4120941758155823 1185 278 1434 319 AU(eg,Maksimovic
1 4 0.9991151690483093 1431 283 1461 315 et
1 4 0.7640256881713867 1455 276 1568 317 al.2005),
1 5 0.9988208413124084 114 317 195 342 corona
1 5 0.9998101592063904 197 310 247 344 and
1 5 0.9997348189353943 248 310 276 344 is
1 5 0.9951985478401184 277 315 342 342 more
1 5 0.9898300766944885 345 312 458 340 indicative
1 5 0.9999315738677979 461 312 492 344 to
1 5 0.9998026490211487 494 312 536 342 the
1 5 0.9861953258514404 539 310 618 344 flaring
1 5 0.9997478127479553 620 310 678 347 Sun,
1 5 0.9985219836235046 681 312 796 347 compared
1 5 0.999935507774353 799 312 830 344 to
1 5 0.999535322189331 854 312 931 347 giving
1 5 0.9990144968032837 930 315 954 344 a
1 5 0.9570469856262207 954 312 1041 340 thermal
1 5 0.9998200535774231 1045 312 1138 347 velocity
1 5 0.9999876022338867 1138 310 1174 344 of
1 5 0.4912770688533783 1175 312 1292 347 VkTe/me
1 5 0.9405086040496826 1293 315 1322 342 =
1 5 0.991421639919281 1319 310 1390 344 1.2x
1 5 0.6206156611442566 1384 308 1431 344 108
1 5 0.9911649823188782 1429 315 1473 342 cm
1 5 0.7127107977867126 1469 312 1492 344 S
1 5 0.3863634765148163 1494 308 1519 340 1
1 5 0.9999943971633911 1516 308 1571 344 The
1 6 0.9938643574714661 114 338 161 374 109
1 6 0.9940641522407532 158 340 224 374 cm-3
1 6 0.9999532699584961 222 342 253 374 in
1 6 0.9769591689109802 251 340 295 376 the
1 6 0.999622106552124 295 344 395 372 Newkirk
1 6 0.9996113181114197 398 344 473 372 model
1 6 0.8790443539619446 476 342 657 376 (Newkirk/1961)
1 6 0.9967924952507019 657 344 692 374 or
1 6 0.9700655341148376 691 338 736 374 108
1 6 0.9958641529083252 733 340 799 374 cm-3
1 6 0.9996123909950256 799 342 828 374 in
