sentences
Athens is Greece
Bangkok is Thailand
Beijing is China
Berlin is Germany
Cairo is Egypt
Kabul is Afghanistan
Canberra is Australia
Stockholm is Sweden
Budapest is Hungary
Dhaka is Bangladesh
Lisbon is Portugal
India is Asia
China is Asia
Nigeria is Africa
Kenya is Africa
Mumbai is Asia
Maharastra is Mumbai
Telengana is Hyderabad
Gujurat is Gandhinagar
Chhattisgarh is Raipur
Goa is Panaji
Jharkhand is Ranchi
Tripura is Agartala
India is Delhi
Spain is Spanish
Syria is Arabic
Mouse is Squeak
Algeria is Dinar
Argentina is Peso
Armenia is Dram
Brazil is Real
Europe is Euro
India is rupee
USA is dollar
Switzerland is Swiss
Thailand is Thai
Sweden is Swedish
Russia is Russian
Portugal is Portuguese
Poland is Polish
Norway is Norwegian
Japan is Japanese
Italy is Italian
Croatia is Croatian
Denmark is Danish
walk is walks
work is works
think is thinks
vanish is vanishes
sing is sings
sit is sits
say is says
scream is screams
play is plays
predict is predicts
machine is machines
mango is mangoes
man is men
melon is melons
hand is hands
horse is horses
finger is fingers
goat is goats
child is children
car is cars
vanishing is vanished
walking is walked
taking is took
thinking is thought
swimming is swam
spending is spent
striking is struck
sleeping is slept
slowing is slowed
singing is sang
sitting is sat
selling is sold
shrinking is shrank
screaming is screamed
seeing is saw
running is ran
saying is said
playing is played
predicting is predicted
moving is moved
paying is paid
listening is listened
looking is looked
jumping is jumped
knowing is knew
hitting is hit
implementing is implemented
going is went
hiding is hid
feeding is fed
flying is flew
describing is described
enhancing is enhanced
India is Indian
swim is swimming
think is thinking
sit is sitting
slow is slowing
say is saying
scream is screaming
play is playing
predict is predicting
jump is jumping
listen is listening
generate is generating
go is going
code is coding
wide is widest
young is youngest
weak is weakest
weird is weirdest
tasty is tastiest
warm is warmest
sweet is sweetest
tall is tallest
lucky is luckiest
old is oldest
hot is hottest
large is largest
dark is darkest
easy is easiest
big is biggest
bright is brightest
wide is wider
young is younger
warm is warmer
weak is weaker
tight is tighter
tough is tougher
high is higher
hot is hotter
hard is harder
heavy is heavier
sure is unsure
tasteful is distasteful
possibly is impossibly
productive is unproductive
likely is unlikely
logical is illogical
honest is dishonest
impressive is unimpressive
convenient is inconvenient
decided is undecided
Islamabad is Pakistan
grandfather is grandmother
grandpa is grandma
king is queen
man is woman
stepson is stepdaughter
uncle is aunt
fortunate is fortunately
free is freely
Maharastra is India
italy is italian
norway is norwegian
russia is russian
switzerland is swiss
india is indian
cairo is egypt
canberra is australia
islamabad is pakistan
maharastra is india
maharastra is mumbai
tripura is agartala
algeria is dinar
argentina is peso
india is rupee
Tehran is Iran
London is England
Madrid is Spain
Tokyo is Japan
Rome is Italy
Oslo is Norway
Ottawa is Canada
Doha is Qatar
Hanoi is Vietnam
Kathmandu is Nepal
Khartoum is Sudan
Kiev is Ukraine
Quito is Ecuador
Riga is Latvia
Paris is Europe
Greece is Europe
France is Europe
Netherlands is Europe
Nairobi is Africa
Karnataka is Bengaluru
Odisha is Bhubaneswar
Bihar is Patna
Assam is Dispur
Rajasthan is Jaipur
Punjab is Chandigarh
Kerala is Thiruvananthapuram
Serbia is Belgrade
Egypt is Arabic
Australia is English
Elephant is Trumpet
USA is Dollar
Russia is Ruble
Iran is Rial
Sweden is Krona
Japan is Yen
Denmark is krone
Nigeria is naira
Netherlands is Dutch
Korea is Korean
Germany is German
Slovakia is Slovakian
Mexico is Mexican
Australia is Australian
Ireland is Irish
France is French
see is sees
shuffle is shuffles
slow is slows
speak is speaks
swim is swims
