block line confidence X1 Y1 X2 Y2 token
0 0 0.999969482421875 161 194 250 221 Dataset
0 1 0.9675337672233582 159 226 347 258 GSW-BE-Novel
0 2 0.522320032119751 161 262 394 294 G5W-BE-Wikipedia
0 3 0.9936151504516602 161 294 347 326 GSW-VS-Radio
0 4 0.5578483939170837 161 328 394 360 GSW-ZH-Wikipedia
0 5 0.9362568855285645 161 363 339 388 GSW-BE-Bible
0 6 0.9852267503738403 161 395 347 420 GSW-Archimob
0 7 0.9088636636734009 161 429 381 454 GSW-ZH-Lexicon!
0 7 0.9998387098312378 428 429 492 456 1,527
0 8 0.5703036785125732 163 463 381 488 G5W-BE-Lexicon2
0 8 0.9964531660079956 426 459 495 493 1,224
1 0 0.8033067584037781 428 194 494 221 Train
1 0 0.9991891980171204 531 191 591 226 Dev.
1 0 0.9999372959136963 629 191 686 226 Test
1 0 0.7130686044692993 720 194 781 221 Total
1 1 0.9989591836929321 423 226 494 260 2,667
1 1 0.9999825954437256 537 226 591 260 218
1 1 0.9999924898147583 636 223 686 260 183
1 1 0.9998873472213745 713 226 781 260 3,251
1 2 0.9995811581611633 544 262 591 294 180
1 2 0.9997511506080627 647 258 686 294 67
1 2 0.9998742341995239 733 258 783 292 247
1 3 0.9999096393585205 444 292 495 326 463
1 3 0.9995213747024536 544 294 591 326 100
1 3 0.9995068311691284 647 290 688 326 50
1 3 0.9999551773071289 733 292 783 326 613
1 4 0.9999277591705322 552 324 591 360 45
1 4 0.9988353848457336 647 324 688 360 50
1 5 0.999224066734314 746 324 785 360 95
1 6 0.9899371862411499 636 358 686 392 126
1 6 0.999749481678009 734 358 785 392 126
1 7 0.999679446220398 411 395 492 422 40,159
1 7 0.998027503490448 520 392 589 427 2,710
1 7 0.9990146160125732 615 392 686 427 2,710
1 7 0.9992054104804993 696 392 783 427 45,579
1 8 0.9914449453353882 717 429 781 456 1,527
1 9 0.5065051317214966 715 459 783 493 1,224
2 0 0.9944363832473755 898 194 969 228 GSW
2 0 0.9966517090797424 967 198 1061 226 dialects,
2 0 0.998613715171814 1062 196 1106 226 but
2 0 0.9999871253967285 1104 196 1143 226 the
2 0 0.9859995245933533 1141 196 1198 232 only
2 0 0.9980977177619934 1196 194 1313 228 electronic
2 0 0.9999417066574097 1311 194 1398 228 version
2 0 0.9562891125679016 1400 196 1502 223 available
2 1 0.9034035801887512 896 230 962 264 tous
2 1 0.9996591806411743 959 235 1022 260 were
2 1 0.9850196838378906 1020 228 1098 262 online
2 1 0.9895681738853455 1098 235 1195 262 excerpts
2 1 0.9745185375213623 1196 230 1227 262 in
2 1 0.9596702456474304 1227 230 1337 258 Bernese.
2 1 0.9993865489959717 1345 232 1453 260 However,
2 1 0.9989537000656128 1455 226 1503 262 this
2 2 0.9652345180511475 896 260 970 296 isnot
2 2 0.9974132180213928 969 264 1082 292 translated
2 2 0.9854655265808105 1085 264 1143 292 from
2 2 0.9998779296875 1145 262 1208 299 High
2 2 0.9132980704307556 1209 264 1301 292 German
2 2 0.9999492168426514 1305 262 1347 292 but
2 2 0.9906326532363892 1348 264 1408 292 from
2 2 0.9998897314071655 1406 264 1431 294 a
2 2 0.9646254777908325 1429 260 1502 294 Greek
2 3 0.9890012741088867 898 296 954 331 text,
2 3 0.9975952506065369 962 296 1032 324 hence
2 3 0.9987316727638245 1036 292 1082 328 the
2 3 0.5587930679321289 1087 296 1203 331 alignment
2 3 0.9993935823440552 1209 294 1266 328 with
2 3 0.9223845601081848 1269 299 1319 333 any
2 3 0.9999995231628418 1324 294 1356 326 of
2 3 0.9970355033874512 1358 292 1403 328 the
2 3 0.7473199963569641 1408 296 1500 324 German
2 4 0.9990744590759277 899 331 975 358 Bibles
2 4 0.9991390705108643 977 328 1004 360 is
2 4 0.8745898008346558 1003 328 1158 363 "problematic."""
2 4 0.9998656511306763 1162 328 1204 358 We
2 4 0.999691367149353 1206 331 1300 356 selected
2 4 0.9994027614593506 1301 328 1343 358 the
2 4 0.9781128764152527 1343 331 1502 365 contemporary
